chr_name	begin	end	overlap_count	p-value	p-value_adjusted	mean	variance	standard_deviation	z-score
chr1	0	10000000	13	0.99998547059579012686	1	27.142919170047762166	15.336049983411615371	3.9161269110450972937	-3.6114557804954894843
chr1	100000	10100000	14	0.9999612587932973362	1	27.639319381982858384	15.696023619528573238	3.9618207455068652106	-3.442689676823800557
chr1	200000	10200000	14	0.99996649187247910184	1	27.746259761355652137	15.6562938699793617195	3.9568034914535952628	-3.4740819934693655986
chr1	300000	10300000	14	0.99997238065604066026	1	27.97687748700724569	15.83372706024623506	3.979161602680423315	-3.5125181841300966651
chr1	400000	10400000	13	0.99999693619735952055	1	28.697168285565620676	16.176915857289296437	4.0220536865249942155	-3.9027744304248172273
chr1	500000	10500000	13	0.9999892659944552564	1	27.963512647218869846	16.370106468335095697	4.045998822087704921	-3.6983482460575235692
chr1	600000	10600000	13	0.9999905461948108698	1	28.164448789877697144	16.565348721133775593	4.0700551250730960576	-3.7258583296474028933
chr1	700000	10700000	12	0.99998893877803896046	1	27.029587449332030854	16.570527174792826199	4.0706912404151737875	-3.6921462625593653491
chr1	800000	10800000	12	0.9999519233498979087	1	25.54161872553577996	15.844701911675708048	3.9805404044772247543	-3.4019548477147634284
chr1	900000	10900000	12	0.99994767851568344685	1	25.434656729534905133	15.751602103137377037	3.9688288074868355345	-3.3850431402311039128
chr1	1000000	11000000	11	0.9999832460444090243	1	25.14695313180735719	15.540266079879337246	3.9421144174008112173	-3.5886713661484720553
chr1	1100000	11100000	11	0.99998601983877699606	1	25.3639718907659916	15.724500002399135217	3.9654129674472916385	-3.6223142478935058983
chr1	1200000	11200000	11	0.99998414110733224724	1	25.208358320562059161	15.581180557931976709	3.9473004139452037289	-3.599512788630457413
chr1	1300000	11300000	10	0.99999580192573755966	1	24.981897753253979834	15.408869247652067252	3.9254132581999652755	-3.8166421642250396484
chr1	1400000	11400000	10	0.9999955310381467566	1	24.907682846280977722	15.340162193096082198	3.9166519111475916553	-3.8062312363911294116
chr1	1500000	11500000	9	0.99999941626700072916	1	25.183417241417200975	15.409315335628163894	3.925470078299943416	-4.1226698761198997704
chr1	1600000	11600000	8	0.99999974539814284746	1	24.25773992146770216	14.927202060867402722	3.8635737421288341086	-4.2079538289101391713
chr1	1700000	11700000	7	0.99999976535435608493	1	23.344971708116941896	15.006031235192332914	3.8737618970701248966	-4.2194053590333656305
chr1	1800000	11800000	7	0.99999976535435608493	1	23.344971708116941896	15.006031235192332914	3.8737618970701248966	-4.2194053590333656305
chr1	1900000	11900000	7	0.9999997276346487274	1	23.181841070127646132	14.857288308747062488	3.8545153143744366874	-4.1981519725143071555
chr1	2000000	12000000	8	0.9999987002108603473	1	23.437997986624770373	14.9633357081350138644	3.8682471105314631728	-3.9909544415076742766
