chr_name	begin	end	overlap_count	p-value	p-value_adjusted	mean	variance	standard_deviation	z-score
chr1	0	10000000	13	9.858896902169139167e-05	1	26.612823055105324482	15.083504963250384906	3.8837488285483118902	-3.5050729735768204253
chr1	100000	10100000	14	0.00022970739726396304653	1	27.096859025451650513	15.437722908789734912	3.9290867779663170621	-3.333308670833313456
chr1	200000	10200000	14	0.00020213586557289175169	1	27.203520427456352251	15.402339900227150874	3.924581493640710587	-3.3643129716763410606
chr1	300000	10300000	14	0.00016959307867468794025	1	27.42820510072830995	15.576541371095773631	3.9467127297405081889	-3.4023771224948512917
chr1	400000	10400000	13	2.4066696690108133885e-05	0.6881631251569519803	28.134104871769326546	15.91971984712010149	3.9899523615101097458	-3.79305402685093681
chr1	500000	10500000	13	7.223538798857630054e-05	1	27.394112228696395672	16.109424484830270903	4.013654754065211188	-3.5862855952215091115
chr1	600000	10600000	13	6.425825241333085812e-05	1	27.586665322696717749	16.303924626547661622	4.037811861212414342	-3.612517329699668059
chr1	700000	10700000	12	7.377829139400095336e-05	1	26.454993305114754798	16.303199453204169585	4.0377220624015429606	-3.57998720112925795
chr1	800000	10800000	12	0.00027613379015853882622	1	24.995757019862517103	15.581078062412897763	3.9472874309344256015	-3.292325995319292825
chr1	900000	10900000	12	0.0002981805761985727903	1	24.891744067295905704	15.49018479616646776	3.935757207471831304	-3.275543532721377477
chr1	1000000	11000000	11	0.00011079918282033396598	1	24.611242402037241263	15.2823492586429048835	3.9092645419110363507	-3.4817910776085293906
chr1	1100000	11100000	11	9.3931049309381683976e-05	1	24.822388734637237042	15.462490737535733442	3.9322373704464654866	-3.5151460688823690322
chr1	1200000	11200000	11	0.00010540073292467890193	1	24.671214216010435257	15.322919572001600603	3.914450098289873538	-3.4924992968956356664
chr1	1300000	11300000	10	3.311078707009431347e-05	0.9467698454822767993	24.450544674391720511	15.153681960248265727	3.8927730424786217847	-3.71214671821471328
chr1	1400000	11400000	10	3.5066976952640814406e-05	1	24.378454313347935445	15.086788619359906056	3.8841715486522870693	-3.7018072279369094583
chr1	1500000	11500000	9	5.831648939770831283e-06	0.1667501697838071497	24.649798341216595425	15.159990327914522391	3.8935832247320105782	-4.019382003140242953
chr1	1600000	11600000	8	2.9411454013272282452e-06	0.08409911160555076444	23.742924291294563279	14.680799107023503197	3.831553093332193824	-4.108757965194574757
chr1	1700000	11700000	7	2.727094402538501544e-06	0.07797853734618591315	22.827805458828360334	14.757479020335052434	3.8415464360508584686	-4.120165074745126691
chr1	1800000	11800000	7	2.727094402538501544e-06	0.07797853734618591315	22.827805458828360334	14.757479020335052434	3.8415464360508584686	-4.120165074745126691
chr1	1900000	11900000	7	3.1303926410507783675e-06	0.08951044717820595664	22.669300958165940605	14.612561332701908428	3.8226380070184396715	-4.099080511781861459
chr1	2000000	12000000	8	1.2092082641383972581e-05	0.34576101104773331198	22.920708258759989675	14.71948122117453431	3.836597610015224715	-3.8890469565560668854
chr1	2100000	12100000	8	2.0497672326469366417e-05	0.58611044250306506333	22.327893375715453912	14.267623646351981786	3.7772508053281267104	-3.7932067829609745623
