chr_name	begin	end	overlap_count	p-value	p-value_adjusted	mean	variance	standard_deviation	z-score
chr1	0	10000000	13	0.99997482466555975833	1	26.612823055105324482	15.083504963250384906	3.8837488285483118902	-3.5050729735768204253
chr1	100000	10100000	14	0.99993413849643664193	1	27.096859025451650513	15.437722908789734912	3.9290867779663170621	-3.333308670833313456
chr1	200000	10200000	14	0.99994270172565369315	1	27.203520427456352251	15.402339900227150874	3.924581493640710587	-3.3643129716763410606
chr1	300000	10300000	14	0.99995239824956139163	1	27.42820510072830995	15.576541371095773631	3.9467127297405081889	-3.4023771224948512917
chr1	400000	10400000	13	0.9999943570276899063	1	28.134104871769326546	15.91971984712010149	3.9899523615101097458	-3.79305402685093681
chr1	500000	10500000	13	0.9999807867004710804	1	27.394112228696395672	16.109424484830270903	4.013654754065211188	-3.5862855952215091115
chr1	600000	10600000	13	0.9999828825387558906	1	27.586665322696717749	16.303924626547661622	4.037811861212414342	-3.612517329699668059
chr1	700000	10700000	12	0.999980216414757761	1	26.454993305114754798	16.303199453204169585	4.0377220624015429606	-3.57998720112925795
chr1	800000	10800000	12	0.9999188731068531233	1	24.995757019862517103	15.581078062412897763	3.9472874309344256015	-3.292325995319292825
chr1	900000	10900000	12	0.9999120178814887572	1	24.891744067295905704	15.49018479616646776	3.935757207471831304	-3.275543532721377477
chr1	1000000	11000000	11	0.9999710926294017588	1	24.611242402037241263	15.2823492586429048835	3.9092645419110363507	-3.4817910776085293906
chr1	1100000	11100000	11	0.999975706525564334	1	24.822388734637237042	15.462490737535733442	3.9322373704464654866	-3.5151460688823690322
chr1	1200000	11200000	11	0.9999725789512061702	1	24.671214216010435257	15.322919572001600603	3.914450098289873538	-3.4924992968956356664
chr1	1300000	11300000	10	0.99999253135431831474	1	24.450544674391720511	15.153681960248265727	3.8927730424786217847	-3.71214671821471328
chr1	1400000	11400000	10	0.99999206827168152234	1	24.378454313347935445	15.086788619359906056	3.8841715486522870693	-3.7018072279369094583
chr1	1500000	11500000	9	0.9999989119384812275	1	24.649798341216595425	15.159990327914522391	3.8935832247320105782	-4.019382003140242953
chr1	1600000	11600000	8	0.99999952505658640245	1	23.742924291294563279	14.680799107023503197	3.831553093332193824	-4.108757965194574757
chr1	1700000	11700000	7	0.9999995612752821117	1	22.827805458828360334	14.757479020335052434	3.8415464360508584686	-4.120165074745126691
chr1	1800000	11800000	7	0.9999995612752821117	1	22.827805458828360334	14.757479020335052434	3.8415464360508584686	-4.120165074745126691
chr1	1900000	11900000	7	0.9999994933972524702	1	22.669300958165940605	14.612561332701908428	3.8226380070184396715	-4.099080511781861459
chr1	2000000	12000000	8	0.9999976459175659027	1	22.920708258759989675	14.71948122117453431	3.836597610015224715	-3.8890469565560668854
chr1	2100000	12100000	8	0.9999959009560700496	1	22.327893375715453912	14.267623646351981786	3.7772508053281267104	-3.7932067829609745623
chr1	2200000	12200000	8	0.9999959009560697165	1	22.327893375715456133	14.267623646351984236	3.7772508053281270346	-3.7932067829609748245
chr1	2300000	12300000	8	0.99999510471911623455	1	22.133174290379434762	14.110820083210063644	3.7564371528364564991	-3.7623880595759693992
chr1	2400000	12400000	8	0.9999943346289439372	1	21.965417720007342666	13.959551742952789829	3.7362483513482866212	-3.737818369318969968
chr1	2500000	12500000	8	0.99999345689266638804	1	21.804402024282042332	13.824462101497396555	3.718126154596881958	-3.7127309430356623175
chr1	2600000	12600000	8	0.9999918803226829356	1	21.675490334602049458	13.779908875853137432	3.7121299648386689308	-3.6840009547446955487
chr1	2700000	12700000	8	0.99993716713441638255	1	20.130987764673216885	13.492815264149399047	3.6732567653445353788	-3.3025155984529666882
chr1	2800000	12800000	8	0.99995520426985717855	1	20.495871071860947286	13.724558743472852246	3.7046671569080065261	-3.373007760915899735
chr1	2900000	12900000	11	0.9993403223913248645	1	21.416830589243002406	13.667039960227054272	3.6968959899119496694	-2.8177234679223701636
chr1	3000000	13000000	11	0.9992624808973882278	1	21.253663043418978454	13.503759088673443479	3.6747461257443953496	-2.7903051510373082645
chr1	3100000	13100000	11	0.9991497569813319046	1	21.036127968140510119	13.244000058856404193	3.6392306960203009633	-2.7577608583911892013
chr1	3200000	13200000	12	0.99914944284035211997	1	22.03593731791249038	13.244190672736753336	3.6392568846863164705	-2.7576886259782488209
chr1	3300000	13300000	12	0.9987666307426423806	1	21.540660148155891933	12.844460464862331186	3.5839169165680070472	-2.6620762618828002586
chr1	3400000	13400000	13	0.9987043400549179273	1	22.472801019142182007	12.782780373996731419	3.5753014382002437557	-2.6495111483273019466
chr1	3500000	13500000	13	0.9981551930172789522	1	22.033344349626737296	12.5211117089733867565	3.5385182928696845663	-2.5528607179534551152
chr1	3600000	13600000	13	0.9979477604111436362	1	21.880976867352076474	12.3779836567769590495	3.518235872817079763	-2.52426988649882842
chr1	3700000	13700000	15	0.99615003878485652855	1	23.354197372228608814	12.529755840631441997	3.539739515929306626	-2.3601164251306037084
chr1	3800000	13800000	15	0.9976242982124012837	1	23.698392338032926671	12.246084340784696155	3.4994405754041168109	-2.485652249439450136
chr1	3900000	13900000	15	0.9980776425189130663	1	24.000299437179649037	12.522679357274261547	3.538739797904652603	-2.5433628780813095733
chr1	4000000	14000000	15	0.99819182184715937733	1	24.087130260931101147	12.601970589072357068	3.5499254342975088844	-2.5598087703860022248
chr1	4100000	14100000	15	0.99819182184715937733	1	24.087130260931101147	12.601970589072357068	3.5499254342975088844	-2.5598087703860022248
chr1	4200000	14200000	15	0.9977095346934343745	1	23.766187712942885969	12.348928792752267037	3.5141042660615901304	-2.4945724569429280919
chr1	4300000	14300000	15	0.9974571905874419775	1	23.619690659057597843	12.2238931256640485975	3.4962684573218985864	-2.465397255467099262
chr1	4400000	14400000	15	0.99706794716226865294	1	23.42270748848940725	12.065712324582959513	3.4735734229440090408	-2.4247961574253367705
chr1	4500000	14500000	15	0.9974462778672406049	1	23.601236864972654281	12.174474439105602474	3.4891939526351358266	-2.46510712265701429
chr1	4600000	14600000	15	0.99671624682087767155	1	23.299803160496914802	12.04079512675077884	3.4699848885478995469	-2.391884526036126747
chr1	4700000	14700000	15	0.99659431034271650507	1	23.247931981916958736	11.995874465741449722	3.4635060943704790487	-2.3813822632860384106
chr1	4800000	14800000	15	0.99659431034271650507	1	23.247931981916958736	11.995874465741449722	3.4635060943704790487	-2.3813822632860384106
chr1	4900000	14900000	15	0.99634070720497946994	1	23.144068224511747039	11.902798388438566859	3.450043244430215379	-2.360569896525098039
chr1	5000000	15000000	15	0.99634070720497946994	1	23.144068224511747039	11.902798388438566859	3.450043244430215379	-2.360569896525098039
chr1	5100000	15100000	15	0.99634070720497946994	1	23.144068224511747039	11.902798388438566859	3.450043244430215379	-2.360569896525098039
chr1	5200000	15200000	15	0.99645027706329147854	1	23.190173793132101898	11.95030074619389073	3.456920702907992758	-2.3692107794785266868
chr1	5300000	15300000	15	0.9975569197472737848	1	23.693139912721715311	12.314983207193415987	3.5092710364395361114	-2.4771925059233013172
chr1	5400000	15400000	16	0.99248016328127963703	1	23.51152464994385336	12.208441425736298388	3.4940580169390860286	-2.1497996351314753206
chr1	5500000	15500000	16	0.9941214178634719678	1	23.860337960598209944	12.435584010700981807	3.5264123426934890716	-2.2289900320035885685
chr1	5600000	15600000	16	0.9944622358054386879	1	23.951816913711312225	12.518694564951414129	3.5381767289030962322	-2.2474335012023355035
chr1	5700000	15700000	16	0.99389168756915702296	1	23.800992401161915139	12.380067716153204934	3.5185320399497863508	-2.217115635892644765
chr1	5800000	15800000	17	0.99093420859323555483	1	24.363544542004586755	12.315056523397116318	3.5092814824971103075	-2.0983054732802130563
chr1	5900000	15900000	17	0.9905721734196848427	1	24.181457925322551002	11.914551680455695727	3.451746178451668211	-2.0805289711492923695
chr1	6000000	16000000	16	0.9972160585804114019	1	24.525269721724510506	12.123432196411599052	3.4818719385427717153	-2.4484730835024606727
chr1	6100000	16100000	16	0.99769223863200129365	1	24.70095705662502493	12.065193956952661911	3.4734988062402816825	-2.504954670199800324
chr1	6200000	16200000	16	0.99919516983720635395	1	26.00528415485326433	12.840976155038245893	3.5834307799981634211	-2.7920963928479713052
chr1	6300000	16300000	16	0.9990929305507137981	1	25.839971607454880935	12.689724270483650604	3.5622639248774999497	-2.7622803405262175839
chr1	6400000	16400000	17	0.9989685616202781393	1	26.699117659751484745	12.603843625031666791	3.5501892379184052152	-2.7320001864008810091
chr1	6500000	16500000	16	0.99957079181358832187	1	26.41765473611591956	12.584971511575998055	3.5475303397682165637	-2.9365935561798671765
chr1	6600000	16600000	15	0.9995710714222011406	1	25.417950685213463768	12.5846756500644868845	3.5474886398781443997	-2.9367115001025961033
chr1	6700000	16700000	15	0.9995710714222011406	1	25.417950685213463768	12.5846756500644868845	3.5474886398781443997	-2.9367115001025961033
chr1	6800000	16800000	17	0.997783137266764264	1	26.130725538982923026	12.948838748979030708	3.598449492347923828	-2.537405501563754946
chr1	6900000	16900000	18	0.9972385844171375302	1	26.819318014173049947	12.702203030803656826	3.5640150155132142521	-2.4745456951738116706
chr1	7000000	17000000	18	0.99723907690937729775	1	26.819431923604693982	12.702089134351281342	3.5639990368056051625	-2.474588750593352436
chr1	7100000	17100000	18	0.9970446020740615367	1	26.71864846629155509	12.611462951379570163	3.5512621631441926204	-2.455084436394382307
chr1	7200000	17200000	18	0.998534673346467061	1	27.376017216157042457	12.510221387875970419	3.536979133084611572	-2.6508545465972782956
chr1	7300000	17300000	19	0.9965501067508972799	1	27.489864621377627688	12.409355614019383583	3.5226915297850567806	-2.4100505393657479028
chr1	7400000	17400000	19	0.99702090760456862917	1	27.700090814483968203	12.575386754857732899	3.546179176925178001	-2.4533703404202055287
chr1	7500000	17500000	19	0.9963834943569864766	1	27.428006239841551494	12.377332195973672464	3.5181432881526688132	-2.3955835648374025502
chr1	7600000	17600000	19	0.9943624752523552157	1	26.7817749719285413	11.865025384068209359	3.4445646145874821372	-2.2591461745189179596
chr1	7700000	17700000	19	0.994351654416201991	1	26.774208700283664222	11.844622133623943677	3.44160168143031097	-2.2588926377595054237
chr1	7800000	17800000	19	0.99412895064947259804	1	26.714445769724114905	11.788430810933462591	3.4334284339321043422	-2.246863716011465639
chr1	7900000	17900000	18	0.99745269571983163903	1	26.47119730954772915	11.575034211321568538	3.402210195052852483	-2.4899100360893872469
chr1	8000000	18000000	18	0.99745289212150567426	1	26.461560775110808771	11.5391432468895408755	3.3969314457153151202	-2.4909424609624407554
chr1	8100000	18100000	18	0.99817796279698911555	1	26.884130426700468286	11.792447570989849747	3.4340133329662320557	-2.5870984079804180775
chr1	8200000	18200000	18	0.9972260289852138415	1	26.396099087063737955	11.603741547646668217	3.4064265070079918307	-2.464782102238391205
chr1	8300000	18300000	18	0.99642848275193030005	1	26.041785566558705769	11.314151522615304786	3.3636515162268675163	-2.3907903442921086185
chr1	8400000	18400000	18	0.99552404172783393044	1	25.736108477406011492	11.1019129162954891515	3.3319533184448261642	-2.3217937762155696783
chr1	8500000	18500000	18	0.99552404172783393044	1	25.736108477406011492	11.1019129162954891515	3.3319533184448261642	-2.3217937762155696783
chr1	8600000	18600000	18	0.9950402768639134976	1	25.587960929052273162	10.975713064024981359	3.3129613737598845357	-2.2903861750856109745
chr1	8700000	18700000	17	0.9964480206202437351	1	24.819960868952621484	10.797537096238495951	3.2859606047910093517	-2.3798096841303973737
chr1	8800000	18800000	17	0.9958846824776740325	1	24.610749018664113063	10.610233533095660546	3.2573353424379965957	-2.3364953922637100208
chr1	8900000	18900000	17	0.9958846824776740325	1	24.610749018664113063	10.610233533095660546	3.2573353424379965957	-2.3364953922637100208
chr1	9000000	19000000	17	0.99549798246603105056	1	24.483540854380755678	10.499207285872643865	3.2402480284497734517	-2.309558030334206808
chr1	9100000	19100000	17	0.99524536697675192176	1	24.404698910488917119	10.426581394097452026	3.2290217394897563659	-2.2931709687587897774
chr1	9200000	19200000	17	0.99432221707353074525	1	24.161679802079373153	10.2426205727400894295	3.2004094382969328803	-2.2377386206842310216
chr1	9300000	19300000	17	0.99432221707353074525	1	24.161679802079373153	10.2426205727400894295	3.2004094382969328803	-2.2377386206842310216
chr1	9400000	19400000	17	0.99467548015123852245	1	24.254676267636170033	10.326968695690829925	3.2135601279096723825	-2.2575200023891030914
chr1	9500000	19500000	17	0.9943579614383443177	1	24.170581257690315225	10.249945656442770371	3.2015536316674081871	-2.2397192371741681655
chr1	9600000	19600000	16	0.9978594919947737507	1	24.038637347314573514	10.244284185304398702	3.200669333952571662	-2.511548838251121914
chr1	9700000	19700000	18	0.99259598306813734414	1	25.003239379712589655	10.489958256067853146	3.2388205038359030904	-2.1622807967957131505
chr1	9800000	19800000	18	0.99295157856216931247	1	25.077368541416289176	10.558592285156656949	3.2493987574867841924	-2.1780547940167894058
chr1	9900000	19900000	18	0.98510691674652517413	1	24.087196870677094872	10.0537725254603421575	3.1707684439990792486	-1.9197860008344597106
chr1	10000000	20000000	18	0.9854972757480243706	1	24.12942577533669168	10.09421814973118866	3.1771399323497208312	-1.9292275146356382233
chr1	10100000	20100000	17	0.99256416775221822935	1	23.758674982439941104	9.921225554230164715	3.14979770052461698	-2.1457489099424527457
chr1	10200000	20200000	17	0.990219239230595738	1	23.37911641636785713	9.641247212408695133	3.1050357827903843873	-2.0544421586778538846
chr1	10300000	20300000	17	0.9900578637839009266	1	23.357468150627263163	9.628858366288188421	3.1030401812235993701	-2.0487869248668152187
chr1	10400000	20400000	17	0.98279001564769263855	1	22.649763726559155609	9.287481218151537397	3.0475369100556497439	-1.8538786873810127979
chr1	10500000	20500000	17	0.9849294491988892508	1	22.833333507658151736	9.400385016449194473	3.0660047319678413167	-1.9025846394940711893
chr1	10600000	20600000	17	0.98252480655978613466	1	22.615844681465284986	9.230197579775083954	3.0381240231062134759	-1.8484580085455431177
chr1	10700000	20700000	17	0.97481045506987362703	1	22.11878605655851869	8.980206231462559661	2.9966992227219867687	-1.7081414169784381479
chr1	10800000	20800000	17	0.97350375729193372454	1	22.038486408391321844	8.90635461679113449	2.9843516241875947031	-1.6883018634786064196
chr1	10900000	20900000	17	0.97266628332186122474	1	21.991037404144499206	8.8696103178112197666	2.9781891004117283497	-1.6758631624346818112
